11|3|Emily|F|123456789|1|1|2023|31|12|2024|A|5|25|
12|2|Ethan|M|134567890|1|2|2023|31|1|2025|A|10|100|
13|1|Lily|F|145678901|15|3|2022|14|3|2025|E|15|125|
14|2|Liam|M|156789012|15|4|2022|14|4|2024|A|20|200|
15|1|Ava|F|167890123|1|5|2023|31|12|2026|A|10|100|
16|3|Jacob|M|178901234|1|6|2023|30|6|2024|A|5|50|
17|2|Isabella|F|189012345|15|7|2022|14|7|2024|E|15|150|
18|1|Noah|M|190123456|15|8|2022|14|8|2025|E|15|125|
19|3|Sophia|F|101234567|1|9|2023|30|9|2024|A|5|25|
20|2|Olivia|F|112345678|1|10|2023|31|10|2025|A|10|100|
