10|2|Sun|M|123456789|30|4|2023|30|4|2025|A|7|100|
21|1|Lucas|M|123450987|15|11|2022|14|11|2025|E|20|200|
22|3|Chloe|F|134567891|15|12|2022|14|12|2023|E|5|50|
23|2|William|M|145678912|1|1|2024|31|12|2026|A|15|150|
24|1|Emma|F|156789023|1|2|2024|29|2|2027|A|10|100|
25|3|Michael|M|167890134|15|3|2023|14|3|2024|A|5|25|
26|2|Abigail|F|178901245|15|4|2023|14|4|2025|A|10|100|
27|1|Hannah|F|189012356|1|5|2023|31|12|2023|E|5|50|
28|3|Daniel|M|190123467|15|6|2022|14|6|2023|E|5|25|
29|2|Sophie|F|101234578|15|7|2022|14|7|2024|A|15|125|
30|1|Henry|M|112345689|1|8|2023|31|7|2024|A|10|100|
